"","status_id","status_message","link_name","status_type","status_link","status_published","num_reactions","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","year","month","day","hour","minute"
"22","348156187501_10153832862622502","b'Detroit Don and Superfan reacting in real time to the Hail Mary  #AMAZING'","b'Detroit Don and Superfan reacting in real time to the Hail Mar...'","video","b'https://www.facebook.com/barstoolsports/videos/10153832862622502/'",2015-12-04 01:06:40,25307,4315,35528,25307,0,0,0,0,0,2015,12,4,1,6
"23","348156187501_10153795303312502","b'Army takes the field with the French flag today.  Very cool.'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10153795303312502/?type=3'",2015-11-14 12:56:59,48130,286,12723,48130,0,0,0,0,0,2015,11,14,12,56
"24","348156187501_10153801660447502","b'Vladimir Putin said ""To forgive terrorists is up to God but to send them to him is up to me"" http://trib.al/AYdtMOJ'","b'""To Forgive The Terrorists Is Up To God, But To Send Them To Him Is Up To Me."" \xe2\x80\x93 Vladimir Putin Or A Movie Character?'","link","b'http://trib.al/AYdtMOJ'",2015-11-17 18:53:59,34503,1795,10807,34503,0,0,0,0,0,2015,11,17,18,53
"25","348156187501_10153713735547502","b'The hero college guy who stopped the Oregon shooter is the name you should be hearing today http://trib.al/hIjwtA0'","b'The Hero College Student Who Rushed The Oregon Shooter Despite Being Shot 5 Times Is The Name You Should Remember From Umpqua'","link","b'http://trib.al/hIjwtA0'",2015-10-02 08:32:42,13424,167,9904,13424,0,0,0,0,0,2015,10,2,8,32
"26","348156187501_10153648365682502","b'Hey Roger Goodell'","b'Hey Roger Goodell'","video","b'https://www.facebook.com/barstoolsports/videos/10153648365682502/'",2015-09-03 09:34:44,4226,384,8854,4226,0,0,0,0,0,2015,9,3,9,34
"27","348156187501_10153648401777502","b'Live Look at Belichick'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10153648401777502/?type=3'",2015-09-03 09:48:22,7625,211,7145,7625,0,0,0,0,0,2015,9,3,9,48
"28","348156187501_10153696525857502","b'The Bills Mafia vs The Patriots Week 2'","b'The Bills Mafia vs The Patriots Week 2'","video","b'https://www.facebook.com/barstoolsports/videos/10153696525857502/'",2015-09-22 16:26:16,3873,1052,6180,3873,0,0,0,0,0,2015,9,22,16,26
"29","348156187501_10153093679612502","b'https://vine.co/v/OIeeDPhF6q5   Leaked footage of Pats trying to deflate all 12 balls'","b'Footage of Patriots trying to deflate all 12 balls'","video","b'https://vine.co/v/OIeeDPhF6q5'",2015-01-21 11:11:15,2905,150,5316,2905,0,0,0,0,0,2015,1,21,11,11
"30","348156187501_10153785667632502","b'Sigma Chi at University of Alabama arrested, beaten, and tased'","","video","b'https://www.facebook.com/barstoolsports/videos/10153785667632502/'",2015-11-09 10:58:22,2090,1317,4643,2090,0,0,0,0,0,2015,11,9,10,58
"31","348156187501_10153124250612502","b""If You're a Pats fan stop what you're doing and read this blog http://boston.barstoolsports.com/random-thoughts/patriots-micd-up-in-the-super-bowl-was-the-most-amazing-thing-ive-ever-seen/""","b""> Patriots Mic'd Up In The Super Bowl Was The Most Amazing Thing I've Ever Seen""","link","b'http://boston.barstoolsports.com/random-thoughts/patriots-micd-up-in-the-super-bowl-was-the-most-amazing-thing-ive-ever-seen/'",2015-02-03 22:19:28,4230,279,4405,4230,0,0,0,0,0,2015,2,3,22,19
